Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
1595,0,10.15,1.59,59.21,98.41,station departing station delay maintenance,station departing station delay maintenance,station departing station delay maintenance,blowfish,,station departing station delay maintenance,success,Secure
1596,0,5.89,1.03,52.59,98.97,departing delay station,departing delay station,departing delay station,blowfish,,departing delay station,failure,Not Secure
1597,1,6.67,0.63,53.83,99.37,maintenance station maintenance delay delay train,maintenance station maintenance deleys delay train,maintenance station maintenance delay delay train,rsa,,maintenance station maintenance delay delay train,success,Secure
1598,1,8.87,0.38,58.34,99.62,station maintenance station delay station,station maintenance station delayskstation,station maintenance station delay station,rsa,,station maintenance station delay station,success,Secure
1599,0,5.33,1.37,59.42,98.63,delay departing train,delay departing train,delay departing train,rsa,,delay departing train,failure,Not Secure
1600,0,14.73,1.02,53.45,98.98,maintenance delay station train departing train maintenance,maintenance delay station train departing train maintenance,maintenance delay station train departing train maintenance,rsa,,maintenance delay station train departing train maintenance,success,Secure
1601,0,7.54,1.84,50.27,98.16,maintenance delay train delay maintenance,maintenance delay train delay maintenance,maintenance delay train delay maintenance,blowfish,gaaaaabnlgilgc0l7cdxugtnrt5c5qgiarkf9hfl06dmazw7c7ohpnjzhtdejdddq9oigo60sgrg7qivwilmsfgrpm3m6hlkpjfwcuvqbvjxofpo,maintenance delay train delay maintenance,failure,Not Secure
1602,0,11.47,1.24,56.31,98.76,station delay maintenance,station delay maintenance,station delay maintenance,blowfish,,station delay maintenance,failure,Not Secure
1603,0,6.71,0.57,57.11,99.43,delay maintenance arriving train departing arriving,delay maintenance arriving train departing arriving,delay maintenance arriving train departing arriving,,,delay maintenance arriving train departing arriving,success,Secure
1604,0,5.92,1.49,57.26,98.51,departing departing delay station,departing departing delay station,departing departing delay station,blowfish,,departing departing delay station,success,Secure
1605,1,6.97,1.61,54.84,98.39,delay arriving train maintenance delay,delay arriving train maintenayce delay,delay arriving train maintenance delay,blowfish,,delay arriving train maintenance delay,failure,Not Secure
1606,0,6.63,0.28,53.21,99.72,maintenance train delay departing station maintenance,maintenance train delay departing station maintenance,maintenance train delay departing station maintenance,rsa,,maintenance train delay departing station maintenance,success,Secure
1607,0,10.88,0.32,56.01,99.68,maintenance arriving station maintenance delay train arriving,maintenance arriving station maintenance delay train arriving,maintenance arriving station maintenance delay train arriving,,,maintenance arriving station maintenance delay train arriving,success,Secure
1608,0,11.05,0.62,59.34,99.38,train station station departing,train station station departing,train station station departing,rsa,,train station station departing,failure,Not Secure
1609,0,11.76,1.86,57.66,98.14,train station train station departing station,train station train station departing station,train station train station departing station,blowfish,,train station train station departing station,failure,Not Secure
1610,0,12.62,0.43,58.95,99.57,delay train arriving train delay,delay train arriving train delay,delay train arriving train delay,blowfish,,delay train arriving train delay,failure,Not Secure
1611,0,5.12,0.8,50.94,99.2,arriving arriving departing station train arriving,arriving arriving departing station train arriving,arriving arriving departing station train arriving,,,arriving arriving departing station train arriving,failure,Not Secure
1612,0,8.66,1.67,56.93,98.33,departing maintenance departing,departing maintenance departing,departing maintenance departing,rsa,,departing maintenance departing,failure,Not Secure
1613,1,6.14,1.19,54.53,98.81,train delay station train arriving,train delay statijn train arriving,train delay station train arriving,,,train delay station train arriving,failure,Not Secure
1614,0,14.69,0.64,53.82,99.36,maintenance maintenance arriving,maintenance maintenance arriving,maintenance maintenance arriving,,,maintenance maintenance arriving,failure,Not Secure
1615,0,14.35,0.75,58.09,99.25,delay delay station,delay delay station,delay delay station,rsa,,delay delay station,failure,Not Secure
1616,0,12.74,1.06,56.29,98.94,arriving station train delay arriving maintenance,arriving station train delay arriving maintenance,arriving station train delay arriving maintenance,rsa,,arriving station train delay arriving maintenance,failure,Not Secure
1617,0,9.92,0.97,57.52,99.03,maintenance station maintenance arriving station departing maintenance,maintenance station maintenance arriving station departing maintenance,maintenance station maintenance arriving station departing maintenance,,,maintenance station maintenance arriving station departing maintenance,failure,Not Secure
1618,0,6.92,1.36,58.27,98.64,arriving maintenance train maintenance departing train,arriving maintenance train maintenance departing train,arriving maintenance train maintenance departing train,rsa,,arriving maintenance train maintenance departing train,failure,Not Secure
1619,0,10.63,0.23,56.32,99.77,delay departing station maintenance train delay station,delay departing station maintenance train delay station,delay departing station maintenance train delay station,rsa,,delay departing station maintenance train delay station,failure,Not Secure
1620,0,6.08,0.38,53.86,99.62,delay departing arriving departing station arriving,delay departing arriving departing station arriving,delay departing arriving departing station arriving,blowfish,,delay departing arriving departing station arriving,success,Secure
1621,0,8.41,1.76,51.89,98.24,delay departing maintenance station maintenance,delay departing maintenance station maintenance,delay departing maintenance station maintenance,blowfish,,delay departing maintenance station maintenance,success,Secure
1622,0,9.59,1.12,50.71,98.88,maintenance arriving departing,maintenance arriving departing,maintenance arriving departing,rsa,,maintenance arriving departing,success,Secure
1623,0,8.82,0.45,57.58,99.55,arriving maintenance maintenance train departing,arriving maintenance maintenance train departing,arriving maintenance maintenance train departing,,,arriving maintenance maintenance train departing,success,Secure
1624,1,8.78,1.83,58.85,98.17,maintenance delay train arriving arriving station,maintenance delay train arrivikg arriving station,maintenance delay train arriving arriving station,rsa,,maintenance delay train arriving arriving station,failure,Not Secure
1625,0,13.76,0.6,54.86,99.4,delay maintenance station arriving train maintenance,delay maintenance station arriving train maintenance,delay maintenance station arriving train maintenance,rsa,,delay maintenance station arriving train maintenance,success,Secure
1626,0,10.78,0.49,51.97,99.51,maintenance station station arriving station,maintenance station station arriving station,maintenance station station arriving station,rsa,,maintenance station station arriving station,success,Secure
